,time,metrics,=recvTokenSize,=QueueSize,=deviceKvCache,+WAITING,+RUNNING,+PENDING,+END,=replyTokenSize
402,1727940492833719.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
404,1727940492833845.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
406,1727940492860650.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
408,1727940492860759.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
410,1727940492881067.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
412,1727940492881134.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
414,1727940492901181.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
416,1727940492901300.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
418,1727940492921286.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
420,1727940492921360.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
422,1727940492941442.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
424,1727940492941539.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
426,1727940492961559.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
428,1727940492961627.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
430,1727940492981545.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
432,1727940492981627.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
434,1727940493001618.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
436,1727940493003034.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
438,1727940493023400.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
440,1727940493023483.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
442,1727940493043702.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
444,1727940493043778.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
446,1727940493063872.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
448,1727940493063946.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
450,1727940493083979.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
452,1727940493084060.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
454,1727940493104218.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
456,1727940493104297.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
458,1727940493124327.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
460,1727940493124413.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
462,1727940493144594.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
464,1727940493144684.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
466,1727940493165002.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
468,1727940493165115.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
470,1727940493185247.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
472,1727940493185324.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
474,1727940493205523.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
476,1727940493205667.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
478,1727940493227942.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
480,1727940493228021.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
482,1727940493248174.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
484,1727940493248255.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
486,1727940493268375.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
488,1727940493268452.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
490,1727940493288526.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
492,1727940493288627.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
494,1727940493308609.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
496,1727940493308697.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
498,1727940493328642.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
500,1727940493328710.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
502,1727940493348606.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
